loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,model
0.7997542023658752,0.7874739766120911,0.38010796904563904,0.89864581823349,Mini-Batch SGD
0.352072536945343,0.8991926908493042,0.3072066903114319,0.9143750071525574,Mini-Batch SGD
0.2942589223384857,0.9152083396911621,0.2704814672470093,0.9237499833106995,Mini-Batch SGD
0.2577694356441498,0.9249739646911621,0.24110646545886993,0.933020830154419,Mini-Batch SGD
0.230875626206398,0.9335416555404663,0.22303245961666107,0.9388541579246521,Mini-Batch SGD
0.2091129571199417,0.9396353960037231,0.203409343957901,0.9440624713897705,Mini-Batch SGD
0.19112294912338257,0.9456250071525574,0.1912248730659485,0.9468749761581421,Mini-Batch SGD
0.1754814237356186,0.9498958587646484,0.17784187197685242,0.9506250023841858,Mini-Batch SGD
0.16246230900287628,0.9538021087646484,0.17014336585998535,0.9511458277702332,Mini-Batch SGD
0.15124674141407013,0.9572135210037231,0.16190877556800842,0.956041693687439,Mini-Batch SGD
0.14180749654769897,0.9598698019981384,0.1532774716615677,0.9553124904632568,Mini-Batch SGD
0.1322738081216812,0.962109386920929,0.14681872725486755,0.9579166769981384,Mini-Batch SGD
0.12479522824287415,0.9646614789962769,0.1406509131193161,0.9591666460037231,Mini-Batch SGD
0.11735889315605164,0.9665364623069763,0.13529764115810394,0.9603124856948853,Mini-Batch SGD
0.11060205847024918,0.9688020944595337,0.13263680040836334,0.9593750238418579,Mini-Batch SGD
0.10422506928443909,0.9712499976158142,0.1280098408460617,0.9621875286102295,Mini-Batch SGD
0.09910183399915695,0.9722916483879089,0.12213258445262909,0.9633333086967468,Mini-Batch SGD
0.09328140318393707,0.9747135639190674,0.12255831062793732,0.9647916555404663,Mini-Batch SGD
0.08891494572162628,0.9759114384651184,0.11732443422079086,0.9645833373069763,Mini-Batch SGD
0.08492107689380646,0.9770833253860474,0.11616339534521103,0.9648958444595337,Mini-Batch SGD
0.08039508014917374,0.9779166579246521,0.1129874661564827,0.965624988079071,Mini-Batch SGD
0.07644016295671463,0.9793229103088379,0.114751435816288,0.963854193687439,Mini-Batch SGD
0.07323803007602692,0.9806249737739563,0.10871654748916626,0.9667708277702332,Mini-Batch SGD
0.06999097019433975,0.9807291626930237,0.10773923248052597,0.9682291746139526,Mini-Batch SGD
0.06675536930561066,0.9826822876930237,0.10382429510354996,0.9677083492279053,Mini-Batch SGD
0.06348573416471481,0.9831249713897705,0.10297078639268875,0.9681249856948853,Mini-Batch SGD
0.0606895312666893,0.9842708110809326,0.10163009911775589,0.9683333039283752,Mini-Batch SGD
